ticker_id,item_id,status,Ticker
2180,32772,1,SRRQY
40891,6963,1,TBGR
99595,9904,1,COB
14472,23706,1,MTEC
99596,1793682,1,DDDD
2187,32780,1,SOLLF
2193,32787,1,SHTGY
131892,26562,1,SNOA
2177,32770,1,SHRIRAMCIT
2179,32772,1,SHTF
2204,32819,1,SICL
2217,32830,1,SEXHF
24593,3777,1,ALR
83140,2049,1,COCXF
2192,32787,0,XUN
2315,33052,1,SINA
2199,32797,1,SVSC
2262,32896,1,SIFY
2265,32896,1,SIFYy
2273,32932,1,AWAEF
2275,32932,1,ASWT
2276,32932,1,SIIC
141016,14752,1,FREED
2289,33002,1,SILV
2290,33002,1,SLVFF
2292,33002,1,8S5
2297,33014,1,S3M
2300,33014,1,SIMTY
2301,33014,1,SIMTF
2278,32932,0,A9W
2286,32976,0,YSG
2287,32981,1,SILVOAK
2304,33026,1,SMM
2317,33052,1,SINAN
2325,39290,1,WHLKY
2337,33068,1,SNGSF
2343,33072,1,S30
2344,33072,1,SINPY
2345,33074,1,S08
2346,33074,1,SPOS
2347,33074,1,SPSTY
2349,33076,1,SRE
2350,33076,1,W1L
2351,33077,1,SSCL
2367,33085,1,SHG
2369,33085,1,SXTN
2373,33098,1,SIAF
2380,33102,1,SBMFF
2381,33102,1,SBHMY
2319,33052,0,YIN
2335,33067,0,PVGB
2352,33077,0,W1M
2441,33146,0,3SD
2378,33102,0,SMZ1
49684,17149,1,HE
131873,26277,1,NVDQ
2390,33107,1,IGEHF
2391,33107,1,7SE
141017,23847,1,BAT
2401,33116,1,SSI
2419,33132,1,SNFRF
2428,33139,1,SNLKF
2429,33139,1,SNLKY
2430,33139,1,WWZ
2435,33144,1,SMZZF
2437,33144,1,SJY
2440,33146,1,SIOLF
2443,33148,1,1NS
2457,33163,1,STEL
2458,33163,1,SNOXY
2459,33163,1,4ST
2420,33132,0,WCQ1
2463,33168,1,SIY
99605,1793683,1,VSN
2465,33168,1,SNOTY
2468,33169,1,SSLYY
2478,33171,1,SNVB
2479,33171,1,SVA
83249,2086,1,0HG
2496,33207,1,SIXHF
2497,33207,1,YIS
2502,33210,1,SITCF
2503,33210,1,7S8
2507,33214,1,STYDF
2512,33226,1,RZC
2525,33261,1,SKPLF
2526,33261,1,9KS
2472,33169,0,39J
2476,33170,0,4SK
2481,33171,0,SVQ
2539,33292,1,SKALF
2542,33294,1,MOBI
2544,33297,1,P9F
2545,33297,1,SPU
2552,33303,1,SWDHY
2553,33303,1,SWDHF
2543,33296,1,SKYP
2558,546,1,JS8
2560,546,1,CLPAY
2566,575,1,JIZDY
2575,33352,1,STTFY
2576,33352,1,STTFF
2582,33356,1,SMCAY
2583,33356,1,SMECF
2585,33360,1,SMI
2593,33376,1,MRT
2594,33376,1,SPMRF
2595,33376,1,W1Q
2556,33303,0,KYW
2559,546,0,YC0
2579,33352,0,SMA
2604,33413,1,HU8
2606,33413,1,SHONF
2633,33497,1,SOHGY
2638,33499,1,SOHOF
2641,33500,1,SOHU
2649,33508,1,SOQ
2659,33537,1,SWP6
2618,33470,0,SB3
2620,33471,0,BRN
2639,33499,0,45S
2661,33548,1,SKIAF
2688,33657,1,3NN1
2689,33660,1,SORL
2691,33660,1,A9S
2696,33662,1,SOLTF
2706,33673,1,SFUN
2710,33673,1,0US
2714,33682,1,SDWHF
2729,33716,1,SN37
2733,32929,1,SHPHF
2743,33787,1,S13
2748,33834,1,SRXXF
2761,33872,1,SOE
83138,2049,1,LISPp
2782,33952,1,SEGYY
2785,33963,1,EI4
2786,33963,1,SQNXF
2781,33952,0,SEI
2799,33973,1,SIFLY
2806,33982,1,SLKST
83139,2049,1,LDSVF
2816,34033,1,H07
2817,34033,1,SMFOY
2827,34058,1,STAA
2828,34058,1,STAEF
2845,34094,1,STBJF
2853,34113,1,SATLF
2854,34113,1,SAR
2846,34094,0,YTC
2876,34173,1,SLNLY
2877,34173,1,31S
138242,1793967,1,VETO
2894,34218,1,SRLRY
2968,34456,1,SZ8
2909,34301,1,S73
2920,39291,1,WPSL
2921,39291,1,WKSGY
2933,34407,1,LRG
138244,1793985,1,IECC
2946,34424,1,SGIPF
2949,34425,1,SGIAF
2971,34462,1,SMFRF
2974,34465,1,SMCKF
2982,34472,1,SMTUY
2938,34413,1,SCHI
138246,1793979,1,MASTL
138247,1793982,1,ESL
138248,1793990,1,ELGI
138249,1793991,1,FLTX
138251,1793995,1,BHIN
138254,1793997,1,RPPINFRA
138255,1794014,1,GETD
138257,1794016,1,JMCP
138258,1794024,1,ERIE
2987,34477,1,SMTNY
2988,34477,1,ION2
2944,34424,0,UGI
2980,34470,0,SUH
2996,34496,1,SURRY
3006,34512,1,ZSU1
3012,38521,1,VIB
3013,38521,1,VBRCF
3018,34525,1,SNQVY
3022,34528,1,SCNR
138359,1816041,1,JFIK
3030,34542,1,SUNTF
3031,34542,1,XSH3
3037,34550,1,SDC
3041,34556,1,SDGCF
2992,34493,0,KK2
3045,34562,0,VI6
99622,1793684,1,TUNE
3127,34704,1,SSPM
3067,34622,1,SPWG
3058,34599,1,SUNLAKE
3068,34622,1,SRGRF
3085,34657,1,S9H
3086,34657,1,STPFQ
3087,34657,1,S9Hy
3088,34657,1,STPX
3091,34659,1,7SN
3092,34659,1,STBFY
138360,1816042,1,BYBK
138361,1816043,1,SQL
138362,1816044,1,DKG
138363,1816045,1,FTRK
138364,1816046,1,RUC
138365,1816047,1,ZOO6
138366,1816050,1,R2E
138367,1816051,1,BFI
138368,1816053,1,ZOO
3093,34659,1,STBFF
3105,34679,1,SU8
3112,34683,1,SWDXF
99623,1793685,1,FUL
3138,34738,1,SUPX
3121,34700,1,SUPER
3157,34767,1,Q7Q
3159,34782,1,URU
3160,34782,1,SUGBY
83144,2051,1,CICN
3178,34801,1,SSFHF
83146,2051,0,CICO
99624,1793686,1,SAVP
3206,34835,1,SKI
3233,34884,1,AK3
84404,257,1,MER
3236,34894,1,SWPFF
85515,581,1,TWTR
85532,583,1,BB
3204,34832,0,SUZLq
99625,1793687,1,REDX
3257,2223,1,AEI
3286,2267,1,BVB
3259,2225,1,ATF
3260,2225,1,AFRMF
85542,584,1,GRPN
3263,2232,1,A8A
88286,1710,1,DRI
3273,35025,1,SYMJF
3277,2260,1,BIJ
3278,2260,1,BIJBF
88291,1711,1,DUE
3282,2265,1,BTBA
83500,121,1,CVXc
88293,1712,1,EVT
3287,2267,1,BORUF
3291,35041,1,HASGF
3250,34952,1,SYNF
3264,35005,1,SYSC
